sgRNA	Gene	49117_9
AKAP3_4	AKAP3	0
AKAP3_5	AKAP3	0
AKAP4_1	AKAP4	0
AKAP4_2	AKAP4	0
AKAP4_3	AKAP4	0
AKAP4_4	AKAP4	0
AKAP4_5	AKAP4	0
AKAP5_3	AKAP5	0
AKAP5_4	AKAP5	0
AKAP5_5	AKAP5	0
AKAP6_1	AKAP6	0
AKAP6_2	AKAP6	0
AKAP6_3	AKAP6	0
AKAP6_5	AKAP6	0
AKAP7_1	AKAP7	0
AKAP7_2	AKAP7	0
AKAP7_3	AKAP7	0
AKAP7_4	AKAP7	0
AKAP7_5	AKAP7	0
AKAP8_1	AKAP8	0
AKAP8_2	AKAP8	0
AKAP8_4	AKAP8	0
AKAP8_5	AKAP8	0
AKAP8L_2	AKAP8L	0
AKAP8L_3	AKAP8L	0
AKAP8L_4	AKAP8L	0
AKAP8L_5	AKAP8L	0
AKAP9_1	AKAP9	0
AKAP9_2	AKAP9	0
AKAP9_3	AKAP9	0
AKAP9_4	AKAP9	0
AKAP9_5	AKAP9	0
AKIP1_1	AKIP1	0
AKIP1_2	AKIP1	0
AKIP1_3	AKIP1	0
AKIP1_5	AKIP1	0
AKIRIN1_1	AKIRIN1	0
AKIRIN1_2	AKIRIN1	0
AKIRIN1_3	AKIRIN1	0
AKIRIN1_5	AKIRIN1	0
AKIRIN2_1	AKIRIN2	0
AKIRIN2_2	AKIRIN2	0
AKIRIN2_3	AKIRIN2	0
AKNA_1	AKNA	0
AKNA_2	AKNA	0
AKNA_3	AKNA	0
AKNA_4	AKNA	0
AKNAD1_2	AKNAD1	0
AKNAD1_3	AKNAD1	0
AKNAD1_4	AKNAD1	0
AKNAD1_5	AKNAD1	0
AKR1A1_1	AKR1A1	0
AKR1A1_2	AKR1A1	0
AKR1A1_3	AKR1A1	0
AKR1A1_4	AKR1A1	0
AKR1A1_5	AKR1A1	0
AKR1B1_1	AKR1B1	0
AKR1B1_2	AKR1B1	0
AKR1B1_3	AKR1B1	0
AKR1B1_4	AKR1B1	0
AKR1B10_1	AKR1B10	0
AKR1B10_2	AKR1B10	0
AKR1B10_3	AKR1B10	0
AKR1B10_4	AKR1B10	0
AKR1B10_5	AKR1B10	0
AKR1B15_1	AKR1B15	0
AKR1B15_2	AKR1B15	0
AKR1B15_3	AKR1B15	0
AKR1B15_5	AKR1B15	0
AKR1C1_1	AKR1C1	0
AKR1C1_2	AKR1C1	0
AKR1C1_3	AKR1C1	0
AKR1C1_4	AKR1C1	0
AKR1C1_5	AKR1C1	0
AKR1C2_1	AKR1C2	0
AKR1C2_3	AKR1C2	0
AKR1C2_4	AKR1C2	0
AKR1C2_5	AKR1C2	0
AKR1C3_1	AKR1C3	0
AKR1C3_2	AKR1C3	0
AKR1C3_3	AKR1C3	0
AKR1C4_1	AKR1C4	0
AKR1C4_2	AKR1C4	0
AKR1C4_3	AKR1C4	0
AKR1C4_4	AKR1C4	0
AKR1C4_5	AKR1C4	0
AKR1D1_1	AKR1D1	0
AKR1D1_2	AKR1D1	0
AKR1D1_3	AKR1D1	0
AKR1D1_4	AKR1D1	0
AKR1D1_5	AKR1D1	0
AKR1E2_1	AKR1E2	0
AKR1E2_2	AKR1E2	0
AKR1E2_4	AKR1E2	0
AKR7A2_1	AKR7A2	0
AKR7A2_2	AKR7A2	0
AKR7A2_3	AKR7A2	0
AKR7A2_4	AKR7A2	0
AKR7A2_5	AKR7A2	0
AKR7A3_1	AKR7A3	0
AKR7A3_2	AKR7A3	0
AKR7A3_3	AKR7A3	0
AKR7A3_4	AKR7A3	0
AKR7A3_5	AKR7A3	0
AKT1_1	AKT1	0
AKT1_2	AKT1	0
AKT1_3	AKT1	0
AKT1_4	AKT1	0
AKT1_5	AKT1	0
AKT1S1_3	AKT1S1	0
AKT1S1_4	AKT1S1	0
AKT2_1	AKT2	0
AKT2_2	AKT2	0
AKT2_3	AKT2	0
AKT2_4	AKT2	0
AKT2_5	AKT2	0
AKT3_1	AKT3	0
AKT3_2	AKT3	0
AKT3_3	AKT3	0
AKT3_4	AKT3	0
AKT3_5	AKT3	0
AKTIP_1	AKTIP	0
AKTIP_3	AKTIP	0
AKTIP_4	AKTIP	0
AKTIP_5	AKTIP	0
ALAD_2	ALAD	0
ALAD_3	ALAD	0
ALAD_4	ALAD	0
ALAD_5	ALAD	0
ALAS1_1	ALAS1	0
ALAS1_2	ALAS1	0
ALAS1_3	ALAS1	0
ALAS1_4	ALAS1	0
ALAS2_1	ALAS2	0
ALAS2_2	ALAS2	0
ALAS2_4	ALAS2	0
ALAS2_5	ALAS2	0
ALB_1	ALB	0
ALB_3	ALB	0
ALB_4	ALB	0
ALB_5	ALB	0
ALCAM_1	ALCAM	0
ALCAM_2	ALCAM	0
ALCAM_3	ALCAM	0
ALCAM_4	ALCAM	0
ALCAM_5	ALCAM	0
ALDH16A1_1	ALDH16A1	0
ALDH16A1_2	ALDH16A1	0
ALDH16A1_3	ALDH16A1	0
ALDH16A1_4	ALDH16A1	0
ALDH16A1_5	ALDH16A1	0
ALDH18A1_1	ALDH18A1	0
ALDH18A1_2	ALDH18A1	0
ALDH18A1_3	ALDH18A1	0
ALDH18A1_4	ALDH18A1	0
ALDH18A1_5	ALDH18A1	0
ALDH1A1_1	ALDH1A1	0
ALDH1A1_2	ALDH1A1	0
ALDH1A1_3	ALDH1A1	0
ALDH1A1_5	ALDH1A1	0
ALDH1A2_4	ALDH1A2	0
ALDH1A2_5	ALDH1A2	0
ALDH1A3_2	ALDH1A3	0
ALDH1A3_3	ALDH1A3	0
ALDH1A3_4	ALDH1A3	0
ALDH1A3_5	ALDH1A3	0
ALDH1B1_1	ALDH1B1	0
ALDH1B1_3	ALDH1B1	0
ALDH1B1_4	ALDH1B1	0
ALDH1B1_5	ALDH1B1	0
ALDH1L1_1	ALDH1L1	0
ALDH1L1_2	ALDH1L1	0
ALDH1L1_3	ALDH1L1	0
ALDH1L1_4	ALDH1L1	0
ALDH1L1_5	ALDH1L1	0
ALDH1L2_1	ALDH1L2	0
ALDH1L2_2	ALDH1L2	0
ALDH1L2_3	ALDH1L2	0
ALDH1L2_4	ALDH1L2	0
ALDH1L2_5	ALDH1L2	0
ALDH2_1	ALDH2	0
ALDH2_2	ALDH2	0
ALDH2_3	ALDH2	0
ALDH2_4	ALDH2	0
ALDH2_5	ALDH2	0
ALDH3A1_1	ALDH3A1	0
ALDH3A1_2	ALDH3A1	0
ALDH3A1_3	ALDH3A1	0
ALDH3A1_4	ALDH3A1	0
ALDH3A1_5	ALDH3A1	0
ALDH3A2_1	ALDH3A2	0
ALDH3A2_2	ALDH3A2	0
ALDH3A2_3	ALDH3A2	0
ALDH3A2_4	ALDH3A2	0
ALDH3A2_5	ALDH3A2	0
ALDH3B1_1	ALDH3B1	0
ALDH3B1_2	ALDH3B1	0
ALDH3B1_4	ALDH3B1	0
ALDH3B1_5	ALDH3B1	0
ALDH3B2_1	ALDH3B2	0
ALDH3B2_2	ALDH3B2	0
ALDH3B2_3	ALDH3B2	0
ALDH3B2_4	ALDH3B2	0
ALDH3B2_5	ALDH3B2	0
ALDH4A1_1	ALDH4A1	0
ALDH4A1_2	ALDH4A1	0
ALDH4A1_3	ALDH4A1	0
ALDH4A1_4	ALDH4A1	0
ALDH4A1_5	ALDH4A1	0
ALDH5A1_1	ALDH5A1	0
ALDH5A1_2	ALDH5A1	0
ALDH5A1_3	ALDH5A1	0
ALDH5A1_4	ALDH5A1	0
ALDH5A1_5	ALDH5A1	0
ALDH6A1_1	ALDH6A1	0
ALDH6A1_2	ALDH6A1	0
ALDH6A1_3	ALDH6A1	0
ALDH6A1_4	ALDH6A1	0
ALDH6A1_5	ALDH6A1	0
ALDH7A1_1	ALDH7A1	0
ALDH7A1_2	ALDH7A1	0
ALDH7A1_3	ALDH7A1	0
ALDH7A1_4	ALDH7A1	0
ALDH7A1_5	ALDH7A1	0
ALDH8A1_1	ALDH8A1	0
ALDH8A1_2	ALDH8A1	0
ALDH8A1_3	ALDH8A1	0
ALDH8A1_4	ALDH8A1	0
ALDH8A1_5	ALDH8A1	0
ALDH9A1_1	ALDH9A1	0
ALDH9A1_2	ALDH9A1	0
ALDH9A1_3	ALDH9A1	0
ALDH9A1_4	ALDH9A1	0
ALDH9A1_5	ALDH9A1	0
ALDOA_1	ALDOA	0
ALDOA_2	ALDOA	0
ALDOA_3	ALDOA	0
ALDOA_4	ALDOA	0
ALDOA_5	ALDOA	0
ALDOB_2	ALDOB	0
ALDOB_3	ALDOB	0
ALDOB_4	ALDOB	0
ALDOB_5	ALDOB	0
ALDOC_1	ALDOC	0
ALDOC_2	ALDOC	0
ALDOC_3	ALDOC	0
ALDOC_5	ALDOC	0
ALG1_1	ALG1	0
ALG1_2	ALG1	0
ALG1_3	ALG1	0
ALG1_4	ALG1	0
ALG1_5	ALG1	0
ALG10_1	ALG10	0
ALG10_2	ALG10	0
ALG10_3	ALG10	0
ALG10_4	ALG10	0
ALG10_5	ALG10	0
ALG10B_1	ALG10B	0
ALG10B_2	ALG10B	0
ALG10B_3	ALG10B	0
ALG10B_4	ALG10B	0
ALG10B_5	ALG10B	0
ALG11_1	ALG11	0
ALG11_2	ALG11	0
ALG11_3	ALG11	0
ALG12_1	ALG12	0
ALG12_2	ALG12	0
ALG12_3	ALG12	0
ALG12_4	ALG12	0
ALG12_5	ALG12	0
ALG13_1	ALG13	0
ALG13_3	ALG13	0
ALG13_4	ALG13	0
ALG13_5	ALG13	0
ALG14_1	ALG14	0
ALG14_3	ALG14	0
ALG14_4	ALG14	0
ALG1L2_1	ALG1L2	0
ALG1L2_2	ALG1L2	0
ALG1L2_3	ALG1L2	0
ALG1L2_4	ALG1L2	0
ALG1L2_5	ALG1L2	0
ALG2_2	ALG2	0
ALG2_3	ALG2	0
ALG2_5	ALG2	0
ALG3_1	ALG3	0
ALG3_2	ALG3	0
ALG3_3	ALG3	0
ALG3_4	ALG3	0
ALG3_5	ALG3	0
ALG5_1	ALG5	0
ALG5_2	ALG5	0
ALG5_3	ALG5	0
ALG5_4	ALG5	0
ALG5_5	ALG5	0
ALG6_2	ALG6	0
ALG6_3	ALG6	0
ALG6_4	ALG6	0
ALG6_5	ALG6	0
ALG8_1	ALG8	0
ALG8_2	ALG8	0
ALG8_3	ALG8	0
ALG8_4	ALG8	0
ALG8_5	ALG8	0
ALG9_1	ALG9	0
ALG9_2	ALG9	0
ALG9_3	ALG9	0
ALG9_4	ALG9	0
ALG9_5	ALG9	0
ALK_1	ALK	0
ALK_2	ALK	0
ALK_3	ALK	0
ALK_4	ALK	0
ALK_5	ALK	0
ALKBH1_1	ALKBH1	0
ALKBH1_2	ALKBH1	0
ALKBH1_3	ALKBH1	0
ALKBH1_4	ALKBH1	0
ALKBH1_5	ALKBH1	0
ALKBH2_1	ALKBH2	0
ALKBH2_2	ALKBH2	0
ALKBH2_3	ALKBH2	0
ALKBH2_4	ALKBH2	0
ALKBH2_5	ALKBH2	0
ALKBH3_1	ALKBH3	0
ALKBH3_2	ALKBH3	0
ALKBH3_3	ALKBH3	0
ALKBH3_5	ALKBH3	0
ALKBH4_1	ALKBH4	0
ALKBH4_2	ALKBH4	0
ALKBH4_3	ALKBH4	0
ALKBH4_4	ALKBH4	0
ALKBH5_2	ALKBH5	0
ALKBH5_3	ALKBH5	0
ALKBH5_4	ALKBH5	0
ALKBH5_5	ALKBH5	0
ALKBH6_1	ALKBH6	0
ALKBH6_2	ALKBH6	0
ALKBH6_3	ALKBH6	0
ALKBH6_4	ALKBH6	0
ALKBH6_5	ALKBH6	0
ALKBH7_1	ALKBH7	0
ALKBH7_2	ALKBH7	0
ALKBH7_3	ALKBH7	0
ALKBH7_4	ALKBH7	0
ALKBH7_5	ALKBH7	0
ALKBH8_1	ALKBH8	0
ALKBH8_2	ALKBH8	0
ALKBH8_3	ALKBH8	0
ALKBH8_4	ALKBH8	0
ALKBH8_5	ALKBH8	0
ALLC_1	ALLC	0
ALLC_2	ALLC	0
ALLC_3	ALLC	0
ALLC_4	ALLC	0
ALLC_5	ALLC	0
ALMS1_1	ALMS1	0
ALMS1_2	ALMS1	0
ALMS1_3	ALMS1	0
ALMS1_4	ALMS1	0
ALMS1_5	ALMS1	0
ALOX12_1	ALOX12	0
ALOX12_2	ALOX12	0
ALOX12_3	ALOX12	0
ALOX12_4	ALOX12	0
ALOX12_5	ALOX12	0
ALOX12B_1	ALOX12B	0
ALOX12B_2	ALOX12B	0
ALOX12B_4	ALOX12B	0
ALOX12B_5	ALOX12B	0
ALOX15_1	ALOX15	0
ALOX15_2	ALOX15	0
ALOX15_3	ALOX15	0
ALOX15_4	ALOX15	0
ALOX15_5	ALOX15	0
ALOX15B_1	ALOX15B	0
ALOX15B_2	ALOX15B	0
ALOX15B_3	ALOX15B	0
ALOX15B_4	ALOX15B	0
ALOX15B_5	ALOX15B	0
ALOX5_1	ALOX5	0
ALOX5_2	ALOX5	0
ALOX5_4	ALOX5	0
ALOX5_5	ALOX5	0
ALOX5AP_1	ALOX5AP	0
ALOX5AP_2	ALOX5AP	0
ALOX5AP_4	ALOX5AP	0
ALOX5AP_5	ALOX5AP	0
ALOXE3_1	ALOXE3	0
ALOXE3_2	ALOXE3	0
ALOXE3_3	ALOXE3	0
ALOXE3_4	ALOXE3	0
ALOXE3_5	ALOXE3	0
ALPI_1	ALPI	0
ALPI_2	ALPI	0
ALPI_3	ALPI	0
ALPI_5	ALPI	0
ALPK1_1	ALPK1	0
ALPK1_2	ALPK1	0
ALPK1_3	ALPK1	0
ALPK1_4	ALPK1	0
ALPK1_5	ALPK1	0
ALPK2_1	ALPK2	0
ALPK2_2	ALPK2	0
ALPK2_3	ALPK2	0
ALPK2_4	ALPK2	0
ALPK2_5	ALPK2	0
ALPK3_1	ALPK3	0
ALPK3_2	ALPK3	0
ALPK3_3	ALPK3	0
ALPK3_4	ALPK3	0
ALPK3_5	ALPK3	0
ALPL_1	ALPL	0
ALPL_2	ALPL	0
ALPL_3	ALPL	0
ALPL_5	ALPL	0
ALPP_1	ALPP	0
ALPP_2	ALPP	0
ALPP_3	ALPP	0
ALPP_4	ALPP	0
ALPP_5	ALPP	0
ALPPL2_1	ALPPL2	0
ALPPL2_2	ALPPL2	0
ALPPL2_3	ALPPL2	0
ALPPL2_4	ALPPL2	0
ALPPL2_5	ALPPL2	0
ALS2_1	ALS2	0
ALS2_2	ALS2	0
ALS2_3	ALS2	0
ALS2_4	ALS2	0
ALS2_5	ALS2	0
ALS2CL_1	ALS2CL	0
ALS2CL_2	ALS2CL	0
ALS2CL_3	ALS2CL	0
ALS2CL_4	ALS2CL	0
ALS2CL_5	ALS2CL	0
ALS2CR11_1	ALS2CR11	0
ALS2CR11_2	ALS2CR11	0
ALS2CR11_3	ALS2CR11	0
ALS2CR11_4	ALS2CR11	0
ALS2CR11_5	ALS2CR11	0
ALS2CR12_1	ALS2CR12	0
ALS2CR12_2	ALS2CR12	0
ALS2CR12_4	ALS2CR12	0
ALS2CR12_5	ALS2CR12	0
ALX1_1	ALX1	0
ALX1_3	ALX1	0
ALX1_4	ALX1	0
ALX1_5	ALX1	0
ALX3_1	ALX3	0
ALX3_2	ALX3	0
ALX3_3	ALX3	0
ALX3_4	ALX3	0
ALX3_5	ALX3	0
ALX4_1	ALX4	0
ALX4_2	ALX4	0
ALX4_3	ALX4	0
ALX4_4	ALX4	0
ALX4_5	ALX4	0
ALYREF_1	ALYREF	0
ALYREF_3	ALYREF	0
ALYREF_4	ALYREF	0
AMACR_1	AMACR	0
AMACR_2	AMACR	0
AMACR_3	AMACR	0
AMACR_4	AMACR	0
AMACR_5	AMACR	0
AMBN_1	AMBN	0
AMBN_2	AMBN	0
AMBN_3	AMBN	0
AMBN_4	AMBN	0
AMBN_5	AMBN	0
AMBP_1	AMBP	0
AMBP_2	AMBP	0
AMBP_3	AMBP	0
AMBP_4	AMBP	0
AMBP_5	AMBP	0
AMBRA1_1	AMBRA1	0
AMBRA1_2	AMBRA1	0
AMBRA1_3	AMBRA1	0
AMBRA1_4	AMBRA1	0
AMBRA1_5	AMBRA1	0
AMD1_1	AMD1	0
AMD1_2	AMD1	0
AMD1_3	AMD1	0
AMD1_4	AMD1	0
AMD1_5	AMD1	0
AMDHD1_1	AMDHD1	0
AMDHD1_2	AMDHD1	0
AMDHD1_4	AMDHD1	0
AMDHD1_5	AMDHD1	0
AMDHD2_2	AMDHD2	0
AMDHD2_3	AMDHD2	0
AMDHD2_4	AMDHD2	0
AMDHD2_5	AMDHD2	0
AMELX_1	AMELX	0
AMELX_2	AMELX	0
AMELX_3	AMELX	0
AMELX_4	AMELX	0
AMELX_5	AMELX	0
AMER1_1	AMER1	0
AMER1_2	AMER1	0
AMER1_3	AMER1	0
AMER1_4	AMER1	0
AMER1_5	AMER1	0
AMER2_1	AMER2	0
AMER2_2	AMER2	0
AMER2_3	AMER2	0
AMER2_4	AMER2	0
AMER2_5	AMER2	0
AMER3_1	AMER3	0
AMER3_2	AMER3	0
AMER3_4	AMER3	0
AMER3_5	AMER3	0
AMFR_1	AMFR	0
AMFR_2	AMFR	0
AMFR_3	AMFR	0
AMFR_4	AMFR	0
AMFR_5	AMFR	0
AMH_1	AMH	0
AMH_2	AMH	0
AMH_3	AMH	0
AMH_4	AMH	0
AMH_5	AMH	0
AMHR2_1	AMHR2	0
AMHR2_2	AMHR2	0
AMHR2_3	AMHR2	0
AMHR2_4	AMHR2	0
AMHR2_5	AMHR2	0
AMIGO1_1	AMIGO1	0
AMIGO1_3	AMIGO1	0
AMIGO1_4	AMIGO1	0
AMIGO2_1	AMIGO2	0
AMIGO2_2	AMIGO2	0
AMIGO2_3	AMIGO2	0
AMIGO2_4	AMIGO2	0
AMIGO2_5	AMIGO2	0
AMIGO3_1	AMIGO3	0
AMIGO3_2	AMIGO3	0
AMIGO3_3	AMIGO3	0
AMIGO3_4	AMIGO3	0
AMIGO3_5	AMIGO3	0
AMMECR1_1	AMMECR1	0
AMMECR1_2	AMMECR1	0
AMMECR1_3	AMMECR1	0
AMMECR1_4	AMMECR1	0
AMMECR1_5	AMMECR1	0
AMMECR1L_1	AMMECR1L	0
AMMECR1L_2	AMMECR1L	0
AMMECR1L_3	AMMECR1L	0
AMMECR1L_4	AMMECR1L	0
AMMECR1L_5	AMMECR1L	0
AMN_1	AMN	0
AMN_2	AMN	0
AMN_3	AMN	0
AMN_4	AMN	0
AMN_5	AMN	0
AMN1_1	AMN1	0
AMN1_2	AMN1	0
AMN1_3	AMN1	0
AMN1_4	AMN1	0
AMOT_1	AMOT	0
AMOT_2	AMOT	0
AMOT_3	AMOT	0
AMOT_4	AMOT	0
AMOT_5	AMOT	0
AMOTL1_1	AMOTL1	0
AMOTL1_2	AMOTL1	0
AMOTL1_5	AMOTL1	0
AMOTL2_1	AMOTL2	0
AMOTL2_2	AMOTL2	0
AMOTL2_3	AMOTL2	0
AMOTL2_4	AMOTL2	0
AMOTL2_5	AMOTL2	0
AMPD1_1	AMPD1	0
AMPD1_4	AMPD1	0
AMPD1_5	AMPD1	0
AMPD2_1	AMPD2	0
AMPD2_3	AMPD2	0
AMPD2_4	AMPD2	0
AMPD2_5	AMPD2	0
AMPD3_1	AMPD3	0
AMPD3_2	AMPD3	0
AMPD3_3	AMPD3	0
AMPD3_5	AMPD3	0
AMPH_1	AMPH	0
AMPH_2	AMPH	0
AMPH_3	AMPH	0
AMPH_4	AMPH	0
AMPH_5	AMPH	0
AMT_1	AMT	0
AMT_2	AMT	0
AMT_4	AMT	0
AMT_5	AMT	0
AMTN_1	AMTN	0
AMTN_2	AMTN	0
AMTN_3	AMTN	0
AMTN_4	AMTN	0
AMTN_5	AMTN	0
AMY2A_1	AMY2A	0
AMY2A_2	AMY2A	0
AMY2A_3	AMY2A	0
AMY2A_4	AMY2A	0
AMY2A_5	AMY2A	0
AMY2B_1	AMY2B	0
AMY2B_2	AMY2B	0
AMY2B_3	AMY2B	0
AMY2B_4	AMY2B	0
AMY2B_5	AMY2B	0
AMZ1_1	AMZ1	0
AMZ1_2	AMZ1	0
AMZ1_3	AMZ1	0
AMZ1_5	AMZ1	0
AMZ2_1	AMZ2	0
AMZ2_2	AMZ2	0
AMZ2_3	AMZ2	0
AMZ2_4	AMZ2	0
AMZ2_5	AMZ2	0
ANAPC1_1	ANAPC1	0
ANAPC1_2	ANAPC1	0
ANAPC1_4	ANAPC1	0
ANAPC1_5	ANAPC1	0
ANAPC10_1	ANAPC10	0
ANAPC10_2	ANAPC10	0
ANAPC10_3	ANAPC10	0
ANAPC10_4	ANAPC10	0
ANAPC11_2	ANAPC11	0
ANAPC11_3	ANAPC11	0
ANAPC11_4	ANAPC11	0
ANAPC11_5	ANAPC11	0
ANAPC13_1	ANAPC13	0
ANAPC13_2	ANAPC13	0
ANAPC13_4	ANAPC13	0
ANAPC13_5	ANAPC13	0
ANAPC15_1	ANAPC15	0
ANAPC15_2	ANAPC15	0
ANAPC15_3	ANAPC15	0
ANAPC15_4	ANAPC15	0
ANAPC15_5	ANAPC15	0
ANAPC16_1	ANAPC16	0
ANAPC16_2	ANAPC16	0
ANAPC16_3	ANAPC16	0
ANAPC16_4	ANAPC16	0
ANAPC16_5	ANAPC16	0
ANAPC2_1	ANAPC2	0
ANAPC2_2	ANAPC2	0
ANAPC2_3	ANAPC2	0
ANAPC2_4	ANAPC2	0
ANAPC2_5	ANAPC2	0
ANAPC4_1	ANAPC4	0
ANAPC4_2	ANAPC4	0
ANAPC4_3	ANAPC4	0
ANAPC4_5	ANAPC4	0
ANAPC5_1	ANAPC5	0
ANAPC5_2	ANAPC5	0
ANAPC5_3	ANAPC5	0
ANAPC5_4	ANAPC5	0
ANAPC5_5	ANAPC5	0
ANAPC7_1	ANAPC7	0
ANAPC7_2	ANAPC7	0
ANAPC7_3	ANAPC7	0
ANAPC7_4	ANAPC7	0
ANG_1	ANG	0
ANG_2	ANG	0
ANG_3	ANG	0
ANG_4	ANG	0
ANG_5	ANG	0
ANGEL1_1	ANGEL1	0
ANGEL1_2	ANGEL1	0
ANGEL1_3	ANGEL1	0
ANGEL1_4	ANGEL1	0
ANGEL1_5	ANGEL1	0
ANGEL2_1	ANGEL2	0
ANGEL2_2	ANGEL2	0
ANGEL2_3	ANGEL2	0
ANGEL2_4	ANGEL2	0
ANGEL2_5	ANGEL2	0
ANGPT1_1	ANGPT1	0
ANGPT1_2	ANGPT1	0
ANGPT1_3	ANGPT1	0
ANGPT1_4	ANGPT1	0
ANGPT1_5	ANGPT1	0
ANGPT2_1	ANGPT2	0
ANGPT2_2	ANGPT2	0
ANGPT2_3	ANGPT2	0
ANGPT2_4	ANGPT2	0
ANGPT2_5	ANGPT2	0
ANGPT4_1	ANGPT4	0
ANGPT4_2	ANGPT4	0
ANGPT4_3	ANGPT4	0
ANGPT4_4	ANGPT4	0
ANGPT4_5	ANGPT4	0
ANGPTL1_1	ANGPTL1	0
ANGPTL1_2	ANGPTL1	0
ANGPTL1_3	ANGPTL1	0
ANGPTL1_4	ANGPTL1	0
ANGPTL2_2	ANGPTL2	0
ANGPTL2_3	ANGPTL2	0
ANGPTL2_4	ANGPTL2	0
ANGPTL2_5	ANGPTL2	0
ANGPTL3_1	ANGPTL3	0
ANGPTL3_2	ANGPTL3	0
ANGPTL3_3	ANGPTL3	0
ANGPTL3_4	ANGPTL3	0
ANGPTL3_5	ANGPTL3	0
ANGPTL4_1	ANGPTL4	0
ANGPTL4_2	ANGPTL4	0
ANGPTL4_3	ANGPTL4	0
ANGPTL4_4	ANGPTL4	0
ANGPTL4_5	ANGPTL4	0
ANGPTL5_1	ANGPTL5	0
ANGPTL5_2	ANGPTL5	0
ANGPTL5_3	ANGPTL5	0
ANGPTL5_4	ANGPTL5	0
ANGPTL5_5	ANGPTL5	0
ANGPTL6_1	ANGPTL6	0
ANGPTL6_2	ANGPTL6	0
ANGPTL6_3	ANGPTL6	0
ANGPTL6_4	ANGPTL6	0
ANGPTL6_5	ANGPTL6	0
ANGPTL7_1	ANGPTL7	0
ANGPTL7_2	ANGPTL7	0
ANGPTL7_3	ANGPTL7	0
ANGPTL7_5	ANGPTL7	0
ANGPTL8_1	ANGPTL8	0
ANGPTL8_2	ANGPTL8	0
ANGPTL8_3	ANGPTL8	0
ANGPTL8_4	ANGPTL8	0
ANGPTL8_5	ANGPTL8	0
ANHX_1	ANHX	0
ANHX_2	ANHX	0
ANHX_3	ANHX	0
ANHX_4	ANHX	0
ANHX_5	ANHX	0
ANK1_1	ANK1	0
ANK1_2	ANK1	0
ANK1_3	ANK1	0
ANK1_4	ANK1	0
ANK1_5	ANK1	0
ANK2_1	ANK2	0
ANK2_2	ANK2	0
ANK2_4	ANK2	0
ANK3_1	ANK3	0
ANK3_3	ANK3	0
ANK3_4	ANK3	0
ANKAR_1	ANKAR	0
ANKAR_2	ANKAR	0
ANKAR_3	ANKAR	0
ANKAR_4	ANKAR	0
ANKAR_5	ANKAR	0
ANKDD1A_1	ANKDD1A	0
ANKDD1A_2	ANKDD1A	0
ANKDD1A_3	ANKDD1A	0
ANKDD1A_4	ANKDD1A	0
ANKDD1A_5	ANKDD1A	0
ANKDD1B_1	ANKDD1B	0
ANKDD1B_2	ANKDD1B	0
ANKDD1B_3	ANKDD1B	0
ANKDD1B_4	ANKDD1B	0
ANKDD1B_5	ANKDD1B	0
ANKEF1_1	ANKEF1	0
ANKEF1_2	ANKEF1	0
ANKEF1_3	ANKEF1	0
ANKEF1_4	ANKEF1	0
ANKEF1_5	ANKEF1	0
ANKFN1_3	ANKFN1	0
ANKFN1_4	ANKFN1	0
ANKFN1_5	ANKFN1	0
ANKFY1_1	ANKFY1	0
ANKFY1_2	ANKFY1	0
ANKFY1_3	ANKFY1	0
ANKFY1_4	ANKFY1	0
ANKFY1_5	ANKFY1	0
ANKH_1	ANKH	0
ANKH_3	ANKH	0
ANKH_4	ANKH	0
ANKH_5	ANKH	0
ANKHD1_1	ANKHD1	0
ANKHD1_2	ANKHD1	0
ANKHD1_3	ANKHD1	0
ANKHD1_4	ANKHD1	0
ANKHD1_5	ANKHD1	0
ANKIB1_1	ANKIB1	0
ANKIB1_2	ANKIB1	0
ANKIB1_3	ANKIB1	0
ANKIB1_4	ANKIB1	0
ANKIB1_5	ANKIB1	0
ANKK1_1	ANKK1	0
ANKK1_2	ANKK1	0
ANKK1_3	ANKK1	0
ANKK1_4	ANKK1	0
ANKK1_5	ANKK1	0
ANKLE1_1	ANKLE1	0
ANKLE1_2	ANKLE1	0
ANKLE1_4	ANKLE1	0
ANKLE1_5	ANKLE1	0
ANKLE2_1	ANKLE2	0
ANKLE2_2	ANKLE2	0
ANKLE2_3	ANKLE2	0
ANKLE2_4	ANKLE2	0
ANKLE2_5	ANKLE2	0
ANKMY1_1	ANKMY1	0
ANKMY1_2	ANKMY1	0
ANKMY1_3	ANKMY1	0
ANKMY1_5	ANKMY1	0
ANKMY2_1	ANKMY2	0
ANKMY2_2	ANKMY2	0
ANKMY2_4	ANKMY2	0
ANKRA2_1	ANKRA2	0
ANKRA2_2	ANKRA2	0
ANKRA2_3	ANKRA2	0
ANKRA2_5	ANKRA2	0
ANKRD1_1	ANKRD1	0
ANKRD1_2	ANKRD1	0
ANKRD1_3	ANKRD1	0
ANKRD1_4	ANKRD1	0
ANKRD1_5	ANKRD1	0
ANKRD10_1	ANKRD10	0
ANKRD10_2	ANKRD10	0
ANKRD10_4	ANKRD10	0
ANKRD10_5	ANKRD10	0
ANKRD11_2	ANKRD11	0
ANKRD11_3	ANKRD11	0
ANKRD11_4	ANKRD11	0
ANKRD11_5	ANKRD11	0
ANKRD12_1	ANKRD12	0
ANKRD12_2	ANKRD12	0
ANKRD12_3	ANKRD12	0
ANKRD12_4	ANKRD12	0
