sgRNA	Gene	49117_9
SGOL2_1	SGOL2	8758
SERF2_1	SERF2	4823
CCDC191_1	CCDC191	14534
LIN28B_5	LIN28B	29530
HIST2H2BE_3	HIST2H2BE	7038
BCL2L2_5	BCL2L2	18076
BEND3_3	BEND3	337
KRT81_4	KRT81	15403
LYL1_2	LYL1	19322
ZNF280B_1	ZNF280B	3178
KLHDC2_1	KLHDC2	21069
USP34_2	USP34	8409
NOP16_5	NOP16	15705
DCTN1_5	DCTN1	5342
PHYKPL_4	PHYKPL	4978
RBCK1_5	RBCK1	27753
INTS6_5	INTS6	10667
STC_01981	STC	20670
SLC44A4_2	SLC44A4	31029
NDUFV3_3	NDUFV3	5463
CTRB1_1	CTRB1	45733
KDM1B_4	KDM1B	24517
SAA1_3	SAA1	13606
ATXN7L2_2	ATXN7L2	2927
UCP3_3	UCP3	2138
ARFRP1_1	ARFRP1	8117
IL17REL_1	IL17REL	57686
STC_06243	STC	14003
FZD6_5	FZD6	16920
GRB14_2	GRB14	7513
ADRB2_3	ADRB2	15201
MGST3_5	MGST3	19316
SEMA3A_5	SEMA3A	20819
GPC3_1	GPC3	8293
AKT1S1_2	AKT1S1	11071
PANX2_5	PANX2	18438
NAPB_1	NAPB	3738
RGPD4_1	RGPD4	24696
ADAMTS7_1	ADAMTS7	27584
C1QB_5	C1QB	16098
GALT_1	GALT	10296
UNKL_5	UNKL	22715
SFRP5_3	SFRP5	16009
ENPEP_3	ENPEP	44759
STC_03183	STC	27693
GRM5_5	GRM5	11330
PCDH8_5	PCDH8	11673
LRIG2_1	LRIG2	23408
STC_08354	STC	13121
HDAC9_2	HDAC9	7061
KCNQ2_4	KCNQ2	15661
SORL1_5	SORL1	6132
SUMF1_4	SUMF1	7932
ADORA2A_4	ADORA2A	17774
STC_04620	STC	27524
PASD1_5	PASD1	21792
BOLL_1	BOLL	9540
AKR1E2_3	AKR1E2	16971
TERF2_2	TERF2	8347
SLC35G3_1	SLC35G3	9533
PID1_2	PID1	22491
FEM1C_3	FEM1C	22487
ABCD2_4	ABCD2	21373
C4orf48_2	C4orf48	30503
ZNF417_4	ZNF417	15690
ERCC2_3	ERCC2	10025
CALR3_2	CALR3	21414
EFHB_3	EFHB	16766
NEURL4_4	NEURL4	7986
HNRNPH1_4	HNRNPH1	45374
ETNPPL_1	ETNPPL	1400
HAPLN3_1	HAPLN3	11278
ELK3_1	ELK3	7011
KIAA1462_1	KIAA1462	7493
PEX16_2	PEX16	26460
WNK4_2	WNK4	18268
STC_03539	STC	3248
TRIL_1	TRIL	5064
ST8SIA1_5	ST8SIA1	14130
QRICH1_3	QRICH1	6693
